note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,67,1/2,0/96,0,1,0,n/a,match
1,67,1/2,1/2,1,1 1/2,0,n/a,match
2,67,1/2,1/1,2,1 1/1,0,n/a,match
3,55,1/2,3/2,3,2,2,n/a,match
4,70,1/2,3/2,3,2,0,n/a,match
5,55,1/2,2/1,4,2 1/2,2,n/a,match
6,55,1/2,5/2,5,2 1/1,2,n/a,match
7,67,1/2,5/2,5,2 1/1,0,n/a,match
8,58,1/2,3/1,6,3,2,n/a,match
9,65,1/2,3/1,6,3,0,n/a,match
10,70,1/2,7/2,7,3 1/2,0,n/a,match
11,55,1/2,4/1,8,3 1/1,2,n/a,match
12,50,1/2,9/2,9,4,3,n/a,match
13,53,1/2,9/2,9,4,2,n/a,match
14,69,1/2,9/2,9,4,0,n/a,match
15,50,1/2,5/1,10,4 1/2,3,n/a,match
16,62,1/2,5/1,10,4 1/2,2,n/a,match
17,50,1/2,11/2,11,4 1/1,3,n/a,match
18,53,1/2,6/1,12,5,3,n/a,match
19,57,1/2,6/1,12,5,1,n/a,match
20,60,1/2,6/1,12,5,2,n/a,match
21,57,1/4,13/2,13,5 1/2,1,n/a,match
22,53,1/4,27/4,14,5 3/4,2,n/a,match
23,50,1/2,7/1,15,5 1/1,3,n/a,match
24,53,1/2,7/1,15,5 1/1,2,n/a,match
25,57,1/2,7/1,15,5 1/1,1,n/a,match
26,48,1/2,15/2,16,6,3,n/a,match
27,60,1/2,15/2,16,6,1,n/a,match
28,53,1/2,8/1,17,6 1/2,3,n/a,match
29,57,1/2,17/2,18,6 1/1,1,n/a,match
30,51,1/2,9/1,19,7,3,n/a,ficta
31,55,1/2,9/1,19,7,1,n/a,match
32,67,1/2,9/1,19,7,0,n/a,match
33,48,1/2,19/2,20,7 1/2,3,n/a,match
34,60,1/2,19/2,20,7 1/2,1,n/a,match
35,67,1/2,19/2,20,7 1/2,0,n/a,match
36,67,1/4,10/1,21,7 1/1,0,n/a,match
37,46,1/4,41/4,22,7 5/4,3,n/a,match
38,43,1/2,21/2,23,8,3,n/a,match
39,55,1/2,21/2,23,8,2,n/a,match
40,58,1/2,21/2,23,8,1,n/a,match
41,70,1/2,21/2,23,8,0,n/a,match
42,55,1/2,11/1,24,8 1/2,2,n/a,match
43,55,1/2,23/2,25,8 1/1,2,n/a,match
44,67,1/2,23/2,25,8 1/1,0,n/a,match
45,58,1/2,12/1,26,9,2,n/a,match
46,62,1/2,12/1,26,9,1,n/a,match
47,65,1/2,12/1,26,9,0,n/a,match
48,62,1/4,25/2,27,9 1/2,1,n/a,match
49,70,1/4,25/2,27,9 1/2,0,n/a,match
50,57,1/4,51/4,28,9 3/4,2,n/a,match
51,55,1/4,13/1,29,9 1/1,2,n/a,match
52,62,1/4,13/1,29,9 1/1,1,n/a,match
53,70,1/4,53/4,30,9 5/4,0,n/a,match
54,50,1/2,27/2,31,10,3,n/a,match
55,53,1/2,27/2,31,10,2,n/a,match
56,65,1/2,27/2,31,10,1,n/a,match
57,69,1/2,27/2,31,10,0,n/a,match
58,50,1/2,14/1,32,10 1/2,3,n/a,match
59,65,1/2,14/1,32,10 1/2,0,n/a,match
60,50,1/2,29/2,33,10 1/1,3,n/a,match
61,62,1/2,29/2,33,10 1/1,1,n/a,match
62,53,1/2,15/1,34,11,3,n/a,match
63,57,1/2,15/1,34,11,2,n/a,match
64,60,1/2,15/1,34,11,1,n/a,match
65,57,1/2,31/2,35,11 1/2,2,n/a,match
66,65,1/2,31/2,35,11 1/2,1,n/a,match
67,50,1/4,16/1,36,11 1/1,3,n/a,match
68,57,1/4,16/1,36,11 1/1,2,n/a,match
69,65,1/4,65/4,37,11 5/4,1,n/a,match
70,48,1/2,33/2,38,12,3,n/a,match
71,60,1/2,33/2,38,12,2,n/a,match
72,63,1/2,33/2,38,12,1,n/a,ficta
73,53,1/2,17/1,39,12 1/2,3,n/a,match
74,60,1/2,17/1,39,12 1/2,1,n/a,match
75,57,1/4,35/2,40,12 1/1,2,n/a,match
76,53,1/4,71/4,41,12 5/4,3,n/a,match
77,51,1/2,18/1,42,13,3,n/a,ficta
78,55,1/2,18/1,42,13,2,n/a,match
79,48,3/4,37/2,43,13 1/2,3,n/a,match
80,60,3/4,37/2,43,13 1/2,2,n/a,match
81,60,1/4,77/4,44,13 5/4,2,n/a,match
82,55,3/4,39/2,45,14,3,n/a,match
83,58,3/4,39/2,45,14,2,n/a,match
84,62,3/4,39/2,45,14,1,n/a,match
85,55,1/4,81/4,46,14 3/4,3,n/a,match
86,55,1/4,41/2,47,14 1/1,3,n/a,match
87,62,1/4,41/2,47,14 1/1,1,n/a,match
88,55,1/4,83/4,48,14 5/4,3,0,repetition
89,58,1/4,83/4,48,14 5/4,2,0,repetition
90,62,1/4,83/4,48,14 5/4,1,0,repetition
91,53,1/2,21/1,49,15,3,n/a,match
92,57,1/2,21/1,49,15,2,n/a,match
93,62,1/2,21/1,49,15,1,n/a,match
94,55,3/4,43/2,50,15 1/2,3,n/a,match
95,58,3/4,43/2,50,15 1/2,2,n/a,match
96,62,3/4,43/2,50,15 1/2,1,n/a,match
97,52,1/4,89/4,51,15 5/4,3,n/a,match
98,62,1/4,89/4,51,15 5/4,1,0,repetition
99,53,1/2,45/2,52,16,3,n/a,match
100,57,1/2,45/2,52,16,2,n/a,match
101,62,1/2,45/2,52,16,1,n/a,match
102,55,3/4,23/1,53,16 1/2,3,n/a,match
103,58,3/4,23/1,53,16 1/2,2,n/a,match
104,63,3/4,23/1,53,16 1/2,1,n/a,match
105,62,1/4,95/4,54,16 5/4,1,n/a,match
106,50,3/4,24/1,55,17,3,n/a,match
107,57,3/4,24/1,55,17,2,n/a,match
108,62,3/4,24/1,55,17,1,n/a,match
109,69,3/4,24/1,55,17,0,n/a,match
110,69,1/4,99/4,56,17 3/4,0,n/a,match
111,53,1/2,25/1,57,17 1/1,2,n/a,match
112,69,1/2,25/1,57,17 1/1,0,n/a,match
113,50,1/2,51/2,58,18,2,n/a,match
114,62,1/2,51/2,58,18,1,0,repetition
115,69,1/2,51/2,58,18,0,n/a,match
116,55,3/4,26/1,59,18 1/2,2,n/a,match
117,70,3/4,26/1,59,18 1/2,0,n/a,match
118,55,1/4,107/4,60,18 5/4,2,n/a,match
119,67,1/4,107/4,60,18 5/4,0,n/a,match
120,53,1/2,27/1,61,19,2,n/a,match
121,62,1/2,27/1,61,19,1,0,repetition
122,69,1/2,27/1,61,19,0,n/a,match
123,55,1/1,55/2,62,19 1/2,2,n/a,match
124,70,1/1,55/2,62,19 1/2,0,n/a,match
125,50,1/2,57/2,63,20,2,n/a,match
126,62,1/2,57/2,63,20,1,n/a,match
127,69,1/2,57/2,63,20,0,n/a,match
128,62,1/2,29/1,64,20 1/2,1,n/a,match
129,62,1/2,59/2,65,20 1/1,1,n/a,match
130,50,1/2,30/1,66,21,3,0,repetition
131,65,1/2,30/1,66,21,1,n/a,match
132,69,1/2,30/1,66,21,0,n/a,match
133,69,1/2,61/2,67,21 1/2,0,n/a,match
134,62,1/2,31/1,68,21 1/1,1,n/a,match
135,69,1/2,31/1,68,21 1/1,0,n/a,match
136,60,1/2,63/2,69,22,1,n/a,match
137,72,1/2,63/2,69,22,0,n/a,match
138,65,1/2,32/1,70,22 1/2,1,n/a,match
139,69,1/2,65/2,71,22 1/1,0,n/a,match
140,63,1/2,33/1,72,23,1,n/a,match
141,67,1/2,33/1,72,23,0,n/a,match
142,72,1/2,67/2,73,23 1/2,0,n/a,match
143,60,1/2,34/1,74,23 1/1,1,n/a,match
144,62,1/2,69/2,75,24,1,n/a,match
145,70,1/2,69/2,75,24,0,n/a,match
146,63,1/2,35/1,76,24 1/2,1,n/a,match
147,67,1/2,35/1,76,24 1/2,0,n/a,match
148,60,1/2,71/2,77,24 1/1,1,n/a,match
149,69,1/2,71/2,77,24 1/1,0,n/a,match
150,62,1/2,36/1,78,25,1,n/a,match
151,70,1/2,36/1,78,25,0,n/a,match
152,58,1/4,73/2,79,25 1/2,1,n/a,match
153,69,1/4,147/4,80,25 3/4,0,n/a,match
154,67,1/4,37/1,81,25 1/1,0,n/a,match
155,60,1/4,149/4,82,25 5/4,1,n/a,match
156,50,1/16,75/2,83,26,3,n/a,match
157,62,1/16,75/2,83,26,1,n/a,match
158,65,1/16,75/2,83,26,0,n/a,match
159,64,1/16,601/16,84,26 1/16,0,n/a,ornamentation
160,65,1/16,301/8,85,26 1/8,0,n/a,ornamentation
161,67,1/16,603/16,86,26 3/16,0,n/a,ornamentation
162,69,1/16,151/4,87,26 1/4,0,n/a,ornamentation
163,65,1/16,605/16,88,26 5/16,0,n/a,ornamentation
164,67,1/16,303/8,89,26 3/8,0,n/a,ornamentation
165,69,1/16,607/16,90,26 7/16,0,n/a,ornamentation
166,55,1/16,38/1,91,26 1/2,3,n/a,match
167,62,1/16,38/1,91,26 1/2,1,0,repetition
168,70,1/16,38/1,91,26 1/2,0,0,repetition
169,69,1/16,609/16,92,26 9/16,0,n/a,ornamentation
170,67,1/16,305/8,93,26 5/8,0,n/a,ornamentation
171,69,1/16,611/16,94,26 11/16,0,n/a,ornamentation
172,62,1/16,153/4,95,26 3/4,2,n/a,match
173,70,1/16,153/4,95,26 3/4,0,0,repetition
174,67,1/16,613/16,96,26 13/16,0,n/a,ornamentation
175,69,1/16,307/8,97,26 7/8,0,n/a,ornamentation
176,70,1/16,615/16,98,26 15/16,0,n/a,ornamentation
177,53,1/4,77/2,99,27,3,n/a,match
178,69,1/4,77/2,99,27,0,n/a,match
179,50,1/4,155/4,100,27 1/4,3,n/a,match
180,62,1/4,155/4,100,27 1/4,2,n/a,match
181,53,1/4,39/1,101,27 1/2,3,n/a,match
182,60,1/4,39/1,101,27 1/2,2,n/a,match
183,69,1/4,39/1,101,27 1/2,0,0,repetition
184,60,1/8,157/4,102,27 3/4,1,n/a,match
185,51,1/8,315/8,103,27 7/8,3,n/a,ficta
186,48,1/4,79/2,104,28,3,n/a,match
187,60,1/4,79/2,104,28,2,n/a,match
188,48,1/8,159/4,105,28 1/4,3,n/a,match
189,67,1/8,159/4,105,28 1/4,0,n/a,match
190,58,1/8,319/8,106,28 3/8,2,n/a,match
191,51,1/4,40/1,107,28 1/2,3,n/a,match
192,55,1/4,40/1,107,28 1/2,2,n/a,match
193,58,1/4,40/1,107,28 1/2,1,n/a,match
194,55,1/8,161/4,108,28 3/4,1,n/a,match
195,58,1/8,161/4,108,28 3/4,2,n/a,match
196,67,1/8,161/4,108,28 3/4,0,n/a,match
197,51,1/8,323/8,109,28 7/8,3,n/a,match
198,50,1/4,81/2,110,29,3,n/a,match
199,58,1/4,81/2,110,29,1 and 2,n/a,match
200,65,1/4,81/2,110,29,0,n/a,match
201,46,1/8,163/4,111,29 1/4,3,n/a,match
202,62,1/8,163/4,111,29 1/4,0,n/a,match
203,48,1/8,327/8,112,29 3/8,3,n/a,match
204,57,1/8,327/8,112,29 3/8,1,n/a,match
205,50,1/8,41/1,113,29 1/2,3,n/a,match
206,53,1/8,41/1,113,29 1/2,1,n/a,match
207,57,1/8,41/1,113,29 1/2,2,n/a,match
208,65,1/8,41/1,113,29 1/2,0,n/a,match
209,52,1/8,329/8,114,29 5/8,3,n/a,ficta
210,53,1/8,165/4,115,29 3/4,2 and 3,n/a,match
211,55,1/8,331/8,116,29 7/8,2,n/a,match
212,64,1/8,331/8,116,29 7/8,0,n/a,match
213,57,1/8,83/2,117,30,1 and 2,n/a,match
214,60,1/8,83/2,117,30,0,n/a,match
215,58,1/8,333/8,118,30 1/8,2,n/a,match
216,48,1/8,167/4,119,30 1/4,3,n/a,match
217,60,1/8,167/4,119,30 1/4,0 and 2,n/a,match
218,57,1/8,335/8,120,30 3/8,1,n/a,match
219,51,1/8,42/1,121,30 1/2,3,n/a,match
220,55,1/8,42/1,121,30 1/2,1,n/a,match
221,67,1/8,42/1,121,30 1/2,0,n/a,match
222,57,1/8,337/8,122,30 5/8,1,n/a,match
223,60,1/8,337/8,122,30 5/8,2,0,repetition
224,55,1/8,169/4,123,30 3/4,2,n/a,match
225,58,1/8,169/4,123,30 3/4,1,n/a,match
226,60,1/8,339/8,124,30 7/8,1,n/a,match
227,67,1/8,339/8,124,30 7/8,0,n/a,match
228,50,1/4,85/2,125,31,3,n/a,match
229,58,1/4,85/2,125,31,2,n/a,match
230,62,1/4,85/2,125,31,1,n/a,match
231,65,1/4,85/2,125,31,0,n/a,match
232,46,1/8,171/4,126,31 1/4,3,n/a,match
233,62,1/8,171/4,126,31 1/4,0,n/a,match
234,65,1/8,171/4,126,31 1/4,1,n/a,match
235,48,1/8,343/8,127,31 3/8,3,n/a,match
236,64,1/8,343/8,127,31 3/8,0,n/a,match
237,50,1/8,43/1,128,31 1/2,3,n/a,match
238,57,1/8,43/1,128,31 1/2,2,n/a,match
239,65,1/8,43/1,128,31 1/2,0,n/a,match
240,52,1/8,345/8,129,31 5/8,3,n/a,match
241,64,1/8,345/8,129,31 5/8,1,n/a,match
242,67,1/8,345/8,129,31 5/8,0,n/a,match
243,53,1/8,173/4,130,31 3/4,3,n/a,match
244,62,1/8,173/4,130,31 3/4,1,n/a,match
245,69,1/8,173/4,130,31 3/4,0,n/a,match
246,60,1/8,347/8,131,31 7/8,1,n/a,match
247,55,1/8,87/2,132,32,3,n/a,match
248,58,1/8,87/2,132,32,1,n/a,match
249,62,1/8,87/2,132,32,2,n/a,match
250,67,1/8,349/8,133,32 1/8,0,n/a,match
251,48,1/4,175/4,134,32 1/4,3,n/a,match
252,60,1/4,175/4,134,32 1/4,1,n/a,match
253,63,1/4,175/4,134,32 1/4,2,n/a,match
254,67,1/4,175/4,134,32 1/4,0,n/a,match
255,50,3/16,44/1,135,32 1/2,3,n/a,match
256,57,3/16,44/1,135,32 1/2,1,n/a,match
257,62,3/16,44/1,135,32 1/2,2,n/a,match
258,66,1/16,707/16,136,32 11/16,0,n/a,ornamentation
259,67,1/32,177/4,137,32 3/4,0,0,repetition
260,66,1/32,1417/32,138,32 25/32,0,n/a,ornamentation
261,67,1/32,709/16,139,32 13/16,0,n/a,ornamentation
262,66,1/32,1419/32,140,32 27/32,0,n/a,ornamentation
263,67,1/32,355/8,141,32 7/8,0,n/a,ornamentation
264,66,1/32,1421/32,142,32 29/32,0,n/a,ornamentation
265,64,1/32,711/16,143,32 15/16,0,n/a,ornamentation
266,66,1/32,1423/32,144,32 31/32,0,n/a,ornamentation
267,43,1/16,89/2,145,33,3,n/a,match
268,55,1/16,89/2,145,33,1,n/a,match
269,58,1/16,89/2,145,33,2,n/a,match
270,67,1/16,89/2,145,33,0,n/a,match
271,57,1/16,713/16,146,33 1/16,2,n/a,ornamentation
272,58,1/16,357/8,147,33 1/8,2,n/a,ornamentation
273,60,1/16,715/16,148,33 3/16,2,n/a,ornamentation
274,62,1/16,179/4,149,33 1/4,2,n/a,ornamentation
275,60,1/16,717/16,150,33 5/16,2,n/a,ornamentation
276,58,1/16,359/8,151,33 3/8,2,n/a,ornamentation
277,57,1/16,719/16,152,33 7/16,2,n/a,ornamentation
278,55,3/16,45/1,153,33 1/2,1,0,repetition
279,58,3/16,45/1,153,33 1/2,2,0,repetition
280,67,3/16,45/1,153,33 1/2,0,0,repetition
281,57,1/32,723/16,154,33 11/16,2,n/a,ornamentation
282,58,1/32,1447/32,155,33 23/32,2,n/a,ornamentation
283,55,1/8,181/4,156,33 3/4,3,n/a,match
